customer_id,gender,age,age_group,married,kids_under12,area,subs_start_year,ClusterHierarchical,ClusterKmeans,movie_watched,scribe_total,movie_watched_no_dup
C5137,M,37,30대,M,N,관악구,2015,56,3,29,19,23
C5138,F,28,20대,M,N,관악구,2015,52,3,21,17,19
C5139,F,49,40대,S,N,강남구,2015,24,2,86,38,42
C5140,M,20,20대,S,N,동작구,2015,54,3,80,41,39
C5141,F,31,30대,M,Y,송파구,2015,82,4,84,39,39
C5142,F,42,40대,M,Y,광진구,2015,94,1,32,27,23
C5143,F,43,40대,M,Y,서초구,2015,66,3,32,25,22
C5144,F,44,40대,M,Y,서대문구,2015,41,2,49,30,34
C5145,M,25,20대,S,N,광진구,2015,74,4,83,41,43
C5146,F,26,20대,S,N,마포구,2015,90,1,44,30,33
C5147,M,37,30대,S,N,강남구,2015,22,5,47,31,31
C5148,M,38,30대,M,Y,광진구,2015,71,4,61,33,38
C5149,F,39,30대,S,N,광진구,2015,68,4,44,28,28
C5150,F,20,20대,M,N,강남구,2015,12,5,55,34,38
C5151,M,51,50대,M,N,동작구,2015,50,3,78,40,45
C5152,M,42,40대,M,Y,송파구,2015,38,4,94,39,41
C5153,F,23,20대,M,N,광진구,2015,93,4,37,28,25
C5154,M,54,50대,M,Y,관악구,2015,47,3,24,17,18
C5155,F,35,30대,M,Y,강남구,2015,18,5,53,36,37
C5156,F,36,30대,S,N,양천구,2015,98,1,88,41,36
C5157,F,37,30대,S,N,송파구,2015,79,4,49,32,34
C5158,M,38,30대,S,N,강남구,2015,22,5,93,42,43
C5159,F,49,40대,S,N,강남구,2015,24,2,46,32,31
C5160,F,20,20대,M,N,강남구,2015,12,5,40,27,29
C5161,F,41,40대,M,Y,서대문구,2015,41,2,37,24,29
C5162,F,52,50대,S,N,동작구,2015,51,3,84,40,45
C5163,M,23,20대,S,N,서초구,2015,60,3,40,25,30
C5164,F,34,30대,S,N,강남구,2015,24,5,56,34,40
C5165,M,45,40대,M,Y,서대문구,2015,44,2,74,38,35
C5166,F,26,20대,M,N,관악구,2015,52,3,37,27,31
C5167,F,57,50대,M,N,서대문구,2015,35,2,40,31,31
C5168,F,28,20대,M,Y,양천구,2015,59,1,53,34,35
C5169,M,49,40대,S,N,서초구,2015,62,3,33,23,26
C5170,M,30,30대,M,Y,용산구,2015,16,5,33,24,23
C5171,F,21,20대,S,N,동작구,2015,55,3,40,27,26
C5172,M,32,30대,S,N,동작구,2015,54,3,82,39,49
C5173,F,18,10대,S,N,양천구,2015,55,1,87,38,45
C5174,M,24,20대,S,N,용산구,2015,1,5,91,38,45
C5175,F,45,40대,M,Y,용산구,2015,40,2,79,39,41
C5176,F,56,50대,M,Y,용산구,2015,32,2,54,32,36
C5177,F,37,30대,M,Y,서초구,2015,66,3,40,30,30
C5178,F,48,40대,M,Y,서대문구,2015,41,2,67,33,36
C5179,F,59,50대,S,N,광진구,2015,87,1,52,31,37
C5180,M,50,50대,M,N,강남구,2015,26,2,79,39,32
C5181,M,21,20대,M,Y,강남구,2015,11,5,23,20,17
C5182,F,22,20대,S,N,광진구,2015,75,4,66,37,35
C5183,F,33,30대,M,Y,송파구,2015,82,4,44,29,33
C5184,M,24,20대,S,N,마포구,2015,89,1,35,23,25
C5185,M,35,30대,M,Y,서대문구,2015,81,4,59,33,36
C5186,F,26,20대,M,N,관악구,2015,52,3,44,32,35
C5187,M,27,20대,S,N,강남구,2015,13,5,51,36,35
C5188,M,48,40대,M,Y,마포구,2015,95,1,35,29,32
C5189,F,60,60대,M,N,용산구,2015,35,2,27,20,24
C5190,M,30,30대,S,N,관악구,2015,62,3,36,21,25
C5191,F,21,20대,S,N,서대문구,2015,4,4,48,25,34
C5192,M,22,20대,M,N,마포구,2015,88,1,61,35,38
C5193,F,43,40대,M,Y,송파구,2015,38,4,54,34,40
C5194,M,54,50대,M,N,양천구,2015,50,1,50,34,39
C5195,M,35,30대,S,N,용산구,2015,21,5,54,33,37
C5196,F,46,40대,S,N,광진구,2015,67,1,33,22,25
C5197,F,57,50대,M,N,서대문구,2015,35,2,81,35,36
C5198,M,38,30대,S,N,서초구,2015,62,3,57,37,37
C5199,M,29,20대,S,N,송파구,2015,72,4,36,27,31
C5200,F,30,30대,M,Y,용산구,2015,17,5,33,29,26
C5201,M,41,40대,M,N,마포구,2015,96,1,33,23,26
C5202,M,22,20대,M,N,마포구,2015,88,1,76,35,36
C5203,F,33,30대,S,N,관악구,2015,63,3,50,31,36
C5204,M,24,20대,S,N,서대문구,2015,2,4,41,30,31
C5205,F,45,40대,M,Y,동작구,2015,48,3,90,40,48
C5206,M,46,40대,M,N,동작구,2015,56,3,60,33,40
C5207,F,27,20대,S,N,강남구,2015,14,5,62,33,35
C5208,M,38,30대,M,Y,강남구,2015,20,5,43,29,28
C5209,F,66,60대,S,N,용산구,2015,36,2,31,22,29
C5210,M,20,20대,M,Y,강남구,2015,11,5,58,35,32
C5211,M,21,20대,M,N,강남구,2015,12,5,35,26,29
C5212,M,32,30대,M,N,강남구,2015,19,5,46,32,32
C5213,M,33,30대,S,N,마포구,2015,97,1,48,30,30
C5214,M,24,20대,M,Y,서대문구,2015,9,4,82,38,43
C5215,F,35,30대,M,N,용산구,2015,6,5,35,24,29
C5216,M,46,40대,S,N,용산구,2015,33,2,78,41,49
C5217,M,47,40대,M,N,용산구,2015,43,2,54,32,29
C5218,F,58,50대,M,Y,용산구,2015,32,2,42,30,34
C5219,F,29,20대,S,N,용산구,2015,4,5,65,34,31
C5220,M,40,40대,M,Y,양천구,2015,49,1,16,14,15
C5221,F,21,20대,M,Y,마포구,2015,92,1,38,26,27
C5222,F,22,20대,M,N,송파구,2015,78,4,78,41,36
C5223,F,43,40대,M,Y,마포구,2015,94,1,54,37,40
C5224,M,24,20대,M,N,마포구,2015,88,1,92,41,42
C5225,F,45,40대,S,N,광진구,2015,67,1,86,42,49
C5226,F,56,50대,M,Y,용산구,2015,32,2,18,14,15
C5227,F,47,40대,M,N,마포구,2015,99,1,76,40,37
C5228,F,38,30대,M,Y,용산구,2015,17,5,45,30,32
C5229,M,49,40대,M,Y,양천구,2015,49,1,88,40,42
C5230,F,20,20대,S,N,송파구,2015,73,4,75,37,44
C5231,F,21,20대,M,Y,용산구,2015,8,5,39,27,35
C5232,M,42,40대,S,N,서대문구,2015,34,2,35,24,25
C5233,M,33,30대,M,Y,용산구,2015,16,5,61,38,37
C5234,M,54,50대,M,Y,송파구,2015,37,2,61,32,44
C5235,F,55,50대,M,N,서대문구,2015,35,2,46,29,30
C5236,M,26,20대,S,N,광진구,2015,74,4,64,33,44
C5237,M,37,30대,M,Y,용산구,2015,16,5,79,36,42
C5238,F,38,30대,M,N,용산구,2015,6,5,40,28,28
C5239,M,59,50대,M,N,용산구,2015,26,2,52,32,42
C5240,M,30,30대,M,Y,마포구,2015,95,1,70,35,30
C5241,F,31,30대,M,Y,용산구,2015,17,5,44,30,33
C5242,M,52,50대,M,N,용산구,2015,26,2,28,23,26
C5243,M,33,30대,S,N,강남구,2015,22,5,34,25,25
C5244,F,24,20대,S,N,서대문구,2015,4,4,75,33,33
C5245,F,45,40대,M,N,용산구,2015,39,2,63,34,35
C5246,M,46,40대,M,N,마포구,2015,96,1,42,26,33
C5247,F,37,30대,S,N,마포구,2015,98,1,44,31,26
C5248,F,28,20대,M,Y,서대문구,2015,77,4,39,25,24
C5249,F,29,20대,M,Y,용산구,2015,8,5,48,29,33
C5250,F,20,20대,S,N,양천구,2015,55,1,44,28,34
C5251,M,21,20대,M,N,관악구,2015,52,3,29,22,25
C5252,M,52,50대,S,N,강남구,2015,28,2,50,32,40
C5253,M,33,30대,M,N,서초구,2015,64,3,51,30,33
C5254,M,54,50대,M,N,서초구,2015,47,3,40,32,32
C5255,F,35,30대,S,N,강남구,2015,24,5,87,40,39
C5256,M,46,40대,S,N,강남구,2015,23,2,47,32,34
C5257,F,37,30대,M,N,강남구,2015,25,5,42,25,29
C5258,M,58,50대,S,N,송파구,2015,85,2,43,25,27
C5259,F,39,30대,M,Y,강남구,2015,18,5,82,38,40
C5260,F,20,20대,M,N,마포구,2015,90,1,81,41,33
C5261,M,21,20대,S,N,서대문구,2015,2,4,90,43,54
C5262,M,22,20대,S,N,광진구,2015,74,4,75,40,39
C5263,M,43,40대,M,Y,용산구,2015,42,2,59,33,41
C5264,F,44,40대,M,Y,용산구,2015,40,2,43,30,30
C5265,M,55,50대,M,Y,강남구,2015,31,2,35,26,31
C5266,M,26,20대,M,Y,서초구,2015,64,3,47,32,33
C5267,M,57,50대,M,N,관악구,2015,47,3,81,40,29
C5268,F,38,30대,S,N,송파구,2015,79,4,34,26,26
C5269,M,39,30대,M,Y,송파구,2015,81,4,49,30,38
C5270,M,30,30대,S,N,용산구,2015,21,5,73,34,33
C5271,F,21,20대,M,N,강남구,2015,12,5,48,31,34
C5272,M,52,50대,M,N,동작구,2015,50,3,79,37,44
C5273,F,53,50대,M,Y,서초구,2015,47,3,47,28,31
C5274,M,24,20대,S,N,강남구,2015,13,5,69,34,33
C5275,F,35,30대,M,N,광진구,2015,68,4,82,39,42
C5276,F,26,20대,S,N,서대문구,2015,4,4,34,22,28
C5277,M,57,50대,M,N,용산구,2015,26,2,44,29,30
C5278,F,38,30대,M,Y,강남구,2015,18,5,47,29,33
C5279,M,66,60대,S,N,송파구,2015,85,2,32,24,25
C5280,F,30,30대,M,Y,강남구,2015,18,5,45,31,26
C5281,M,31,30대,M,Y,용산구,2015,16,5,20,15,18
C5282,M,22,20대,M,N,마포구,2015,88,1,70,30,27
C5283,M,23,20대,M,N,용산구,2015,10,5,45,30,29
C5284,F,34,30대,S,N,용산구,2015,3,5,54,32,38
C5285,F,35,30대,M,N,강남구,2015,25,5,52,34,36
C5286,M,36,30대,S,N,관악구,2015,62,3,36,26,27
C5287,F,27,20대,S,N,송파구,2015,73,4,57,34,40
C5288,F,38,30대,M,Y,서대문구,2015,82,4,44,33,30
C5289,M,62,60대,S,N,서대문구,2015,36,2,47,28,35
C5290,F,50,50대,M,N,송파구,2015,86,2,39,25,30
C5291,M,31,30대,M,Y,마포구,2015,95,1,54,33,39
C5292,F,18,10대,S,N,강남구,2015,15,5,67,36,35
C5293,F,23,20대,M,N,서대문구,2015,78,4,55,30,37
C5294,M,54,50대,S,N,송파구,2015,85,2,51,33,37
C5295,F,55,50대,M,N,동작구,2015,51,3,78,39,32
C5296,F,26,20대,M,Y,송파구,2015,77,4,43,29,36
C5297,M,57,50대,M,N,용산구,2015,26,2,28,22,24
C5298,F,38,30대,M,N,광진구,2015,68,4,33,22,24
C5299,F,49,40대,M,Y,동작구,2015,48,3,33,21,26
C5300,F,20,20대,S,N,강남구,2015,14,5,90,41,47
C5301,F,51,50대,M,N,광진구,2015,87,1,38,28,34
C5302,F,42,40대,S,Y,용산구,2015,3,2,87,41,49
C5303,F,23,20대,S,N,송파구,2015,73,4,53,33,37
C5304,M,54,50대,M,N,마포구,2015,84,1,25,18,21
C5305,M,25,20대,S,N,동작구,2015,54,3,59,31,38
C5306,M,56,50대,M,N,마포구,2015,84,1,38,26,24
C5307,M,47,40대,M,Y,광진구,2015,70,1,83,43,40
C5308,F,38,30대,S,N,광진구,2015,68,4,52,30,40
C5309,M,49,40대,M,Y,양천구,2015,49,1,45,29,29
C5310,F,30,30대,M,N,강남구,2015,25,5,81,38,43
C5311,F,21,20대,S,N,송파구,2015,73,4,39,27,30
C5312,F,52,50대,M,N,서초구,2015,47,3,97,44,36
C5313,M,23,20대,S,N,강남구,2015,13,5,38,25,29
C5314,F,34,30대,M,Y,강남구,2015,18,5,41,28,30
C5315,F,35,30대,M,N,강남구,2015,25,5,57,37,38
C5316,M,36,30대,S,N,마포구,2015,97,1,40,28,29
C5317,M,47,40대,M,Y,용산구,2015,42,2,50,33,37
C5318,F,38,30대,S,N,송파구,2015,79,4,17,14,14
C5319,F,59,50대,M,Y,강남구,2015,32,2,75,35,43
C5320,F,19,10대,S,N,강남구,2015,15,5,24,23,23
C5321,F,21,20대,S,N,동작구,2015,55,3,47,30,35
C5322,M,22,20대,S,N,강남구,2015,13,5,42,29,32
C5323,M,33,30대,S,N,강남구,2015,22,5,50,35,37
C5324,M,54,50대,S,N,강남구,2015,28,2,34,24,27
C5325,M,55,50대,M,N,송파구,2015,85,2,48,28,28
C5326,F,56,50대,M,Y,용산구,2015,32,2,87,42,44
C5327,M,47,40대,S,N,마포구,2015,96,1,42,29,34
C5328,F,58,50대,M,N,관악구,2015,47,3,32,23,23
C5329,F,60,60대,S,N,광진구,2015,87,1,39,27,28
C5330,M,20,20대,M,N,용산구,2015,10,5,49,32,37
C5331,F,21,20대,M,N,송파구,2015,78,4,56,32,33
C5332,F,32,30대,M,N,송파구,2015,80,4,49,31,37
C5333,M,23,20대,S,N,강남구,2015,13,5,48,31,31
C5334,M,24,20대,M,Y,마포구,2015,92,1,38,28,31
C5335,F,45,40대,M,Y,송파구,2015,38,4,41,27,26
C5336,F,46,40대,M,N,용산구,2015,39,2,36,29,26
C5337,M,27,20대,S,N,용산구,2015,1,5,53,33,37
C5338,M,38,30대,S,N,서대문구,2015,5,4,24,19,19
C5339,F,59,50대,M,N,마포구,2015,84,1,57,31,39
C5340,M,20,20대,M,Y,용산구,2015,9,5,41,28,25
C5341,F,41,40대,S,N,서초구,2015,63,3,31,20,24
C5342,M,22,20대,M,N,양천구,2015,88,1,74,39,40
C5343,F,23,20대,S,N,강남구,2015,14,5,43,30,34
C5344,M,34,30대,S,N,용산구,2015,21,5,46,30,38
C5345,F,25,20대,S,N,광진구,2015,75,4,47,31,35
C5346,M,46,40대,S,N,관악구,2015,62,3,49,31,34
C5347,M,37,30대,S,N,마포구,2015,97,1,52,34,33
C5348,M,58,50대,M,Y,송파구,2015,37,2,58,31,32
C5349,F,39,30대,M,Y,송파구,2015,82,4,32,25,22
C5350,M,50,50대,M,Y,송파구,2015,37,2,70,42,40
C5351,M,51,50대,M,Y,용산구,2015,31,2,45,30,35
C5352,M,42,40대,S,N,서초구,2015,62,3,55,34,39
C5353,F,53,50대,M,N,광진구,2015,87,1,71,37,41
C5354,F,44,40대,M,N,관악구,2015,63,3,83,41,34
C5355,F,35,30대,M,N,용산구,2015,6,5,48,29,34
C5356,M,46,40대,S,N,송파구,2015,69,4,83,39,46
C5357,F,37,30대,M,Y,강남구,2015,18,5,38,26,25
C5358,M,28,20대,S,N,서초구,2015,60,3,49,29,28
C5359,M,49,40대,M,Y,용산구,2015,42,2,47,34,36
C5360,F,20,20대,S,N,관악구,2015,61,3,81,41,35
C5361,F,31,30대,M,N,동작구,2015,57,3,71,34,33
C5362,M,22,20대,S,N,송파구,2015,72,4,55,29,39
C5363,M,23,20대,M,Y,용산구,2015,9,5,47,30,33
C5364,F,44,40대,M,Y,강남구,2015,29,2,64,33,23
C5365,M,35,30대,M,N,강남구,2015,19,5,38,24,32
C5366,M,46,40대,M,Y,양천구,2015,49,1,36,27,25
C5367,F,47,40대,M,Y,송파구,2015,38,4,79,41,41
C5368,F,48,40대,M,Y,송파구,2015,38,4,23,19,20
C5369,F,49,40대,S,N,서초구,2015,63,3,53,36,36
C5370,F,40,40대,M,Y,강남구,2015,29,2,58,35,37
C5371,F,41,40대,M,Y,마포구,2015,94,1,67,36,30
C5372,M,22,20대,S,N,서대문구,2015,2,4,26,22,20
C5373,M,53,50대,S,N,서초구,2015,46,3,22,19,17
C5374,F,34,30대,S,N,광진구,2015,68,4,45,29,32
C5375,F,35,30대,M,N,마포구,2015,91,1,23,17,18
C5376,M,26,20대,S,N,마포구,2015,89,1,43,28,28
C5377,F,47,40대,M,Y,광진구,2015,94,1,37,25,31
C5378,M,58,50대,M,N,송파구,2015,85,2,39,28,31
C5379,F,61,60대,M,N,서초구,2015,47,3,32,27,24
C5380,F,20,20대,M,N,용산구,2015,7,5,48,29,35
C5381,F,21,20대,M,Y,용산구,2015,8,5,46,27,32
C5382,M,42,40대,M,N,송파구,2015,69,4,84,39,41
C5383,M,23,20대,M,N,송파구,2015,76,4,42,25,34
C5384,M,54,50대,M,N,용산구,2015,26,2,69,35,36
C5385,M,35,30대,S,N,송파구,2015,69,4,98,42,41
C5386,M,46,40대,M,Y,송파구,2015,38,4,47,31,29
C5387,F,37,30대,S,N,서초구,2015,63,3,52,31,37
C5388,M,38,30대,S,N,용산구,2015,21,5,60,35,38
C5389,M,29,20대,S,N,강남구,2015,13,5,42,31,33
C5390,M,20,20대,S,N,송파구,2015,72,4,37,26,27
C5391,M,41,40대,M,Y,송파구,2015,38,4,38,27,25
C5392,M,42,40대,M,N,양천구,2015,96,1,68,32,32
C5393,M,53,50대,M,Y,서대문구,2015,37,2,49,28,24
C5394,F,54,50대,M,N,서초구,2015,47,3,80,40,37
C5395,F,25,20대,M,Y,강남구,2015,11,5,56,33,35
C5396,F,56,50대,M,Y,강남구,2015,32,2,66,38,33
C5397,M,57,50대,S,N,송파구,2015,85,2,33,26,23
C5398,M,38,30대,S,N,서초구,2015,62,3,42,29,32
C5399,M,60,60대,S,N,서초구,2015,46,3,46,28,35
C5400,F,20,20대,M,N,마포구,2015,90,1,87,39,41
C5401,F,51,50대,M,N,관악구,2015,47,3,53,32,35
C5402,F,42,40대,S,N,강남구,2015,24,2,52,33,40
C5403,M,18,10대,S,N,양천구,2015,89,1,32,24,27
C5404,M,34,30대,S,N,마포구,2015,97,1,38,26,27
C5405,F,25,20대,M,Y,서대문구,2015,77,4,23,17,21
C5406,M,26,20대,S,N,강남구,2015,13,5,43,29,35
C5407,F,47,40대,M,Y,용산구,2015,40,2,80,43,35
C5408,M,28,20대,S,N,송파구,2015,72,4,94,42,53
C5409,M,63,60대,M,N,서대문구,2015,36,2,68,30,35
C5410,M,20,20대,M,Y,양천구,2015,59,1,37,26,22
C5411,M,21,20대,S,N,관악구,2015,61,3,76,36,31
C5412,F,42,40대,S,N,서대문구,2015,34,2,61,34,44
C5413,M,23,20대,S,N,관악구,2015,61,3,33,25,27
C5414,F,54,50대,M,Y,광진구,2015,83,1,47,31,37
C5415,M,35,30대,S,N,광진구,2015,69,4,58,32,38
C5416,F,46,40대,S,N,강남구,2015,24,2,34,25,29
C5417,F,27,20대,S,N,용산구,2015,4,5,49,31,32
C5418,F,28,20대,S,N,서초구,2015,60,3,70,35,38
C5419,M,29,20대,S,N,관악구,2015,61,3,40,26,27
C5420,F,20,20대,S,N,광진구,2015,75,4,91,41,39
C5421,F,41,40대,M,Y,용산구,2015,40,2,81,41,33
C5422,M,42,40대,M,Y,동작구,2015,48,3,55,33,35
C5423,M,33,30대,M,Y,동작구,2015,58,3,59,33,35
C5424,M,24,20대,S,N,서초구,2015,60,3,40,27,24
C5425,F,18,10대,S,N,양천구,2015,55,1,38,24,28
C5426,F,46,40대,M,N,강남구,2015,25,2,49,34,32
C5427,F,37,30대,S,N,용산구,2015,3,5,55,32,34
