customer_id,gender,age,age_group,married,kids_under12,area,subs_start_year,movie_watched,movie_watched_no_dup,scribe_total,repeat_mov,ClusterHierarchical,ClusterKmeans
C5036,M,36,30대,M,Y,용산구,2015,43,28,31,15,669,1
C5037,M,47,40대,M,Y,서대문구,2015,80,44,36,36,250,3
C5038,F,48,40대,S,N,양천구,2015,39,36,26,3,315,1
C5039,M,39,30대,M,Y,용산구,2015,98,52,42,46,261,3
C5040,M,20,20대,M,N,강남구,2015,63,36,36,27,566,5
C5041,F,21,20대,M,N,강남구,2015,62,43,36,19,575,1
C5042,F,22,20대,M,N,용산구,2015,63,43,38,20,574,1
C5043,M,23,20대,M,N,송파구,2015,47,33,30,14,652,1
C5044,F,54,50대,M,N,마포구,2015,40,34,27,6,321,1
C5045,M,35,30대,M,Y,양천구,2015,69,39,31,30,530,5
C5046,M,46,40대,S,N,강남구,2015,55,32,29,23,547,1
C5047,M,47,40대,M,N,용산구,2015,44,30,31,14,701,1
C5048,M,38,30대,M,N,양천구,2015,43,31,28,12,661,1
C5049,M,29,20대,M,Y,양천구,2015,72,38,37,34,246,5
C5050,M,50,50대,M,N,광진구,2015,45,33,30,12,618,1
C5051,F,21,20대,S,N,용산구,2015,34,22,28,12,682,2
C5052,M,22,20대,S,N,광진구,2015,41,30,25,11,323,1
C5053,M,23,20대,M,N,용산구,2015,54,32,33,22,563,1
C5054,F,24,20대,M,N,용산구,2015,44,30,25,14,673,1
C5055,F,25,20대,M,Y,송파구,2015,83,37,39,46,303,3
C5056,F,36,30대,M,Y,서대문구,2015,51,38,31,13,642,1
C5057,F,47,40대,M,N,동작구,2015,62,31,35,31,532,5
C5058,M,28,20대,M,Y,강남구,2015,45,38,30,7,644,1
C5059,F,63,60대,S,N,용산구,2015,39,33,29,6,320,1
C5060,F,30,30대,S,N,강남구,2015,61,38,35,23,571,5
C5061,M,31,30대,M,Y,강남구,2015,63,33,38,30,164,5
C5062,F,42,40대,M,Y,마포구,2015,45,29,30,16,694,1
C5063,M,23,20대,S,N,서대문구,2015,42,31,25,11,323,1
C5064,F,54,50대,M,N,양천구,2015,77,42,40,35,227,3
C5065,M,45,40대,M,Y,용산구,2015,33,26,24,7,376,2
C5066,F,56,50대,S,N,강남구,2015,50,36,27,14,655,1
C5067,M,37,30대,S,N,광진구,2015,79,36,36,43,296,3
C5068,F,48,40대,M,Y,동작구,2015,69,34,32,35,176,5
C5069,F,29,20대,M,Y,마포구,2015,77,37,40,40,268,3
C5070,F,40,40대,M,Y,관악구,2015,29,21,21,8,483,2
C5071,M,21,20대,S,N,용산구,2015,46,31,29,15,704,1
C5072,M,22,20대,S,N,서초구,2015,50,37,33,13,621,1
C5073,F,33,30대,M,N,서대문구,2015,37,26,21,11,466,2
C5074,M,34,30대,M,Y,송파구,2015,57,33,34,24,563,5
C5075,F,35,30대,S,N,광진구,2015,44,25,26,19,463,1
C5076,F,36,30대,M,Y,송파구,2015,38,28,29,10,335,1
C5077,M,27,20대,S,N,용산구,2015,63,43,34,20,575,1
C5078,F,38,30대,M,N,송파구,2015,43,31,31,12,660,1
C5079,M,29,20대,S,N,마포구,2015,88,42,44,46,254,3
C5080,M,50,50대,M,Y,서대문구,2015,84,47,41,37,232,3
C5081,F,31,30대,M,Y,양천구,2015,38,32,24,6,329,2
C5082,M,22,20대,S,N,강남구,2015,52,34,32,18,587,1
C5083,M,23,20대,M,N,용산구,2015,68,34,36,34,161,5
C5084,F,24,20대,S,N,서대문구,2015,31,27,21,4,374,2
C5085,F,25,20대,S,N,관악구,2015,77,44,36,33,226,3
C5086,M,46,40대,M,Y,용산구,2015,55,39,33,16,582,1
C5087,F,37,30대,M,N,관악구,2015,77,31,38,46,292,3
C5088,F,28,20대,M,Y,광진구,2015,42,29,26,13,662,1
C5089,M,59,50대,M,N,마포구,2015,63,30,30,33,196,5
C5090,F,30,30대,M,Y,서대문구,2015,92,45,42,47,263,3
C5091,F,41,40대,M,Y,용산구,2015,47,35,32,12,645,1
C5092,F,22,20대,S,N,서초구,2015,76,47,38,29,240,3
C5093,M,33,30대,M,Y,광진구,2015,87,45,42,42,267,3
C5094,M,44,40대,M,Y,강남구,2015,59,38,28,21,602,1
C5095,M,55,50대,M,N,서초구,2015,61,41,33,20,597,1
C5096,F,46,40대,S,N,용산구,2015,63,38,34,25,573,5
C5097,M,27,20대,S,N,마포구,2015,41,30,30,11,659,1
C5098,M,58,50대,M,N,양천구,2015,63,32,37,31,532,5
C5099,M,39,30대,M,N,용산구,2015,96,40,43,56,289,3
C5100,M,20,20대,M,Y,용산구,2015,50,40,31,10,642,1
C5101,F,51,50대,M,Y,광진구,2015,78,49,38,29,235,3
C5102,F,42,40대,M,N,서대문구,2015,63,27,35,36,205,5
C5103,M,43,40대,M,Y,양천구,2015,56,36,31,20,558,1
C5104,F,24,20대,M,Y,용산구,2015,44,34,28,10,318,1
C5105,M,25,20대,S,N,송파구,2015,74,38,40,36,155,3
C5106,M,56,50대,S,N,용산구,2015,54,36,34,18,586,1
C5107,M,37,30대,S,N,강남구,2015,21,16,13,5,111,4
C5108,F,48,40대,M,Y,강남구,2015,68,29,35,39,206,5
C5109,M,59,50대,M,N,강남구,2015,45,33,31,12,649,1
C5110,M,40,40대,M,N,송파구,2015,39,28,28,11,672,1
C5111,F,31,30대,M,Y,양천구,2015,93,44,41,49,255,3
C5112,F,22,20대,M,N,광진구,2015,55,34,27,21,605,1
C5113,F,33,30대,M,N,용산구,2015,43,29,31,14,701,1
C5114,F,44,40대,M,Y,서대문구,2015,22,18,17,4,130,2
C5115,M,35,30대,M,N,서초구,2015,50,30,29,20,687,1
C5116,M,56,50대,M,N,양천구,2015,54,34,33,20,558,1
C5117,F,19,10대,S,N,강남구,2015,46,36,33,10,636,1
C5118,F,28,20대,M,Y,마포구,2015,38,29,25,9,322,2
C5119,M,49,40대,M,N,강남구,2015,71,39,37,32,253,5
C5120,F,20,20대,S,N,관악구,2015,98,50,44,48,256,3
C5121,F,51,50대,S,N,강남구,2015,70,33,34,37,185,5
C5122,M,42,40대,M,Y,광진구,2015,47,28,33,19,689,1
C5123,M,43,40대,M,Y,용산구,2015,41,32,25,9,340,1
C5124,F,24,20대,M,Y,용산구,2015,28,20,18,8,407,2
C5125,M,55,50대,M,N,용산구,2015,40,26,31,14,701,1
C5126,F,46,40대,S,N,양천구,2015,34,30,22,4,348,2
C5127,M,19,10대,S,N,관악구,2015,85,41,38,44,273,3
C5128,F,28,20대,S,N,서초구,2015,38,32,24,6,346,2
C5129,F,59,50대,M,N,마포구,2015,66,45,36,21,576,1
C5130,F,40,40대,M,Y,용산구,2015,71,37,39,34,156,5
C5131,F,21,20대,S,N,용산구,2015,43,27,31,16,669,1
C5132,F,52,50대,M,N,서대문구,2015,83,43,40,40,279,3
C5133,M,23,20대,M,Y,강남구,2015,66,43,37,23,574,5
C5134,M,34,30대,M,N,양천구,2015,33,24,23,9,493,2
C5135,M,55,50대,M,Y,용산구,2015,45,30,29,15,700,1
C5136,M,56,50대,M,Y,강남구,2015,44,33,30,11,649,1
C5137,M,37,30대,M,N,관악구,2015,29,23,19,6,488,2
C5138,F,28,20대,M,N,관악구,2015,21,19,17,2,122,2
C5139,F,49,40대,S,N,강남구,2015,86,42,38,44,280,3
C5140,M,20,20대,S,N,동작구,2015,80,39,41,41,268,3
C5141,F,31,30대,M,Y,송파구,2015,84,39,39,45,303,3
C5142,F,42,40대,M,Y,광진구,2015,32,23,27,9,681,2
C5143,F,43,40대,M,Y,서초구,2015,32,22,25,10,365,2
C5144,F,44,40대,M,Y,서대문구,2015,49,34,30,15,652,1
C5145,M,25,20대,S,N,광진구,2015,83,43,41,40,277,3
C5146,F,26,20대,S,N,마포구,2015,44,33,30,11,660,1
C5147,M,37,30대,S,N,강남구,2015,47,31,31,16,704,1
C5148,M,38,30대,M,Y,광진구,2015,61,38,33,23,570,5
C5149,F,39,30대,S,N,광진구,2015,44,28,28,16,665,1
C5150,F,20,20대,M,N,강남구,2015,55,38,34,17,585,1
C5151,M,51,50대,M,N,동작구,2015,78,45,40,33,227,3
C5152,M,42,40대,M,Y,송파구,2015,94,41,39,53,288,3
C5153,F,23,20대,M,N,광진구,2015,37,25,28,12,681,1
C5154,M,54,50대,M,Y,관악구,2015,24,18,17,6,121,2
C5155,F,35,30대,M,Y,강남구,2015,53,37,36,16,585,1
C5156,F,36,30대,S,N,양천구,2015,88,36,41,52,294,3
C5157,F,37,30대,S,N,송파구,2015,49,34,32,15,615,1
C5158,M,38,30대,S,N,강남구,2015,93,43,42,50,259,3
C5159,F,49,40대,S,N,강남구,2015,46,31,32,15,705,1
C5160,F,20,20대,M,N,강남구,2015,40,29,27,11,671,1
C5161,F,41,40대,M,Y,서대문구,2015,37,29,24,8,339,2
C5162,F,52,50대,S,N,동작구,2015,84,45,40,39,222,3
C5163,M,23,20대,S,N,서초구,2015,40,30,25,10,324,1
C5164,F,34,30대,S,N,강남구,2015,56,40,34,16,582,1
C5165,M,45,40대,M,Y,서대문구,2015,74,35,38,39,153,3
C5166,F,26,20대,M,N,관악구,2015,37,31,27,6,327,1
C5167,F,57,50대,M,N,서대문구,2015,40,31,31,9,648,1
C5168,F,28,20대,M,Y,양천구,2015,53,35,34,18,600,1
C5169,M,49,40대,S,N,서초구,2015,33,26,23,7,363,2
C5170,M,30,30대,M,Y,용산구,2015,33,23,24,10,502,2
C5171,F,21,20대,S,N,동작구,2015,40,26,27,14,664,1
C5172,M,32,30대,S,N,동작구,2015,82,49,39,33,237,3
C5173,F,18,10대,S,N,양천구,2015,87,45,38,42,224,3
C5174,M,24,20대,S,N,용산구,2015,91,45,38,46,262,3
C5175,F,45,40대,M,Y,용산구,2015,79,41,39,38,276,3
C5176,F,56,50대,M,Y,용산구,2015,54,36,32,18,586,1
C5177,F,37,30대,M,Y,서초구,2015,40,30,30,10,659,1
C5178,F,48,40대,M,Y,서대문구,2015,67,36,33,31,170,5
C5179,F,59,50대,S,N,광진구,2015,52,37,31,15,613,1
C5180,M,50,50대,M,N,강남구,2015,79,32,39,47,300,3
C5181,M,21,20대,M,Y,강남구,2015,23,17,20,6,410,2
C5182,F,22,20대,S,N,광진구,2015,66,35,37,31,162,5
C5183,F,33,30대,M,Y,송파구,2015,44,33,29,11,650,1
C5184,M,24,20대,S,N,마포구,2015,35,25,23,10,493,2
C5185,M,35,30대,M,Y,서대문구,2015,59,36,33,23,568,5
C5186,F,26,20대,M,N,관악구,2015,44,35,32,9,625,1
C5187,M,27,20대,S,N,강남구,2015,51,35,36,16,584,1
C5188,M,48,40대,M,Y,마포구,2015,35,32,29,3,321,1
C5189,F,60,60대,M,N,용산구,2015,27,24,20,3,449,2
C5190,M,30,30대,S,N,관악구,2015,36,25,21,11,362,2
C5191,F,21,20대,S,N,서대문구,2015,48,34,25,14,657,1
C5192,M,22,20대,M,N,마포구,2015,61,38,35,23,570,5
C5193,F,43,40대,M,Y,송파구,2015,54,40,34,14,589,1
C5194,M,54,50대,M,N,양천구,2015,50,39,34,11,634,1
C5195,M,35,30대,S,N,용산구,2015,54,37,33,17,585,1
C5196,F,46,40대,S,N,광진구,2015,33,25,22,8,353,2
C5197,F,57,50대,M,N,서대문구,2015,81,36,35,45,297,3
C5198,M,38,30대,S,N,서초구,2015,57,37,37,20,599,1
C5199,M,29,20대,S,N,송파구,2015,36,31,27,5,328,1
C5200,F,30,30대,M,Y,용산구,2015,33,26,29,7,334,2
C5201,M,41,40대,M,N,마포구,2015,33,26,23,7,352,2
C5202,M,22,20대,M,N,마포구,2015,76,36,35,40,180,3
C5203,F,33,30대,S,N,관악구,2015,50,36,31,14,622,1
C5204,M,24,20대,S,N,서대문구,2015,41,31,30,10,647,1
C5205,F,45,40대,M,Y,동작구,2015,90,48,40,42,223,3
C5206,M,46,40대,M,N,동작구,2015,60,40,33,20,597,1
C5207,F,27,20대,S,N,강남구,2015,62,35,33,27,567,5
C5208,M,38,30대,M,Y,강남구,2015,43,28,29,15,669,1
C5209,F,66,60대,S,N,용산구,2015,31,29,22,2,311,2
C5210,M,20,20대,M,Y,강남구,2015,58,32,35,26,564,5
C5211,M,21,20대,M,N,강남구,2015,35,29,26,6,333,2
C5212,M,32,30대,M,N,강남구,2015,46,32,32,14,705,1
C5213,M,33,30대,S,N,마포구,2015,48,30,30,18,689,1
C5214,M,24,20대,M,Y,서대문구,2015,82,43,38,39,276,3
C5215,F,35,30대,M,N,용산구,2015,35,29,24,6,310,2
C5216,M,46,40대,S,N,용산구,2015,78,49,41,29,234,3
C5217,M,47,40대,M,N,용산구,2015,54,29,32,25,546,5
C5218,F,58,50대,M,Y,용산구,2015,42,34,30,8,646,1
C5219,F,29,20대,S,N,용산구,2015,65,31,34,34,198,5
C5220,M,40,40대,M,Y,양천구,2015,16,15,14,1,148,4
C5221,F,21,20대,M,Y,마포구,2015,38,27,26,11,662,2
C5222,F,22,20대,M,N,송파구,2015,78,36,41,42,284,3
C5223,F,43,40대,M,Y,마포구,2015,54,40,37,14,589,1
C5224,M,24,20대,M,N,마포구,2015,92,42,41,50,257,3
C5225,F,45,40대,S,N,광진구,2015,86,49,42,37,232,3
C5226,F,56,50대,M,Y,용산구,2015,18,15,14,3,113,4
C5227,F,47,40대,M,N,마포구,2015,76,37,40,39,268,3
C5228,F,38,30대,M,Y,용산구,2015,45,32,30,13,649,1
C5229,M,49,40대,M,Y,양천구,2015,88,42,40,46,274,3
C5230,F,20,20대,S,N,송파구,2015,75,44,37,31,248,3
C5231,F,21,20대,M,Y,용산구,2015,39,35,27,4,319,1
C5232,M,42,40대,S,N,서대문구,2015,35,25,24,10,379,2
C5233,M,33,30대,M,Y,용산구,2015,61,37,38,24,572,5
C5234,M,54,50대,M,Y,송파구,2015,61,44,32,17,580,1
C5235,F,55,50대,M,N,서대문구,2015,46,30,29,16,700,1
C5236,M,26,20대,S,N,광진구,2015,64,44,33,20,576,1
C5237,M,37,30대,M,Y,용산구,2015,79,42,36,37,250,3
C5238,F,38,30대,M,N,용산구,2015,40,28,28,12,672,1
C5239,M,59,50대,M,N,용산구,2015,52,42,32,10,643,1
C5240,M,30,30대,M,Y,마포구,2015,70,30,35,40,221,5
C5241,F,31,30대,M,Y,용산구,2015,44,33,30,11,650,1
C5242,M,52,50대,M,N,용산구,2015,28,26,23,2,452,2
C5243,M,33,30대,S,N,강남구,2015,34,25,25,9,680,2
C5244,F,24,20대,S,N,서대문구,2015,75,33,33,42,184,3
C5245,F,45,40대,M,N,용산구,2015,63,35,34,28,567,5
C5246,M,46,40대,M,N,마포구,2015,42,33,26,9,330,1
C5247,F,37,30대,S,N,마포구,2015,44,26,31,18,688,1
C5248,F,28,20대,M,Y,서대문구,2015,39,24,25,15,456,2
C5249,F,29,20대,M,Y,용산구,2015,48,33,29,15,652,1
C5250,F,20,20대,S,N,양천구,2015,44,34,28,10,628,1
C5251,M,21,20대,M,N,관악구,2015,29,25,22,4,360,2
C5252,M,52,50대,S,N,강남구,2015,50,40,32,10,643,1
C5253,M,33,30대,M,N,서초구,2015,51,33,30,18,606,1
C5254,M,54,50대,M,N,서초구,2015,40,32,32,8,624,1
C5255,F,35,30대,S,N,강남구,2015,87,39,40,48,302,3
C5256,M,46,40대,S,N,강남구,2015,47,34,32,13,651,1
C5257,F,37,30대,M,N,강남구,2015,42,29,25,13,673,1
C5258,M,58,50대,S,N,송파구,2015,43,27,25,16,666,1
C5259,F,39,30대,M,Y,강남구,2015,82,40,38,42,282,3
C5260,F,20,20대,M,N,마포구,2015,81,33,41,48,295,3
C5261,M,21,20대,S,N,서대문구,2015,90,54,43,36,229,3
C5262,M,22,20대,S,N,광진구,2015,75,39,40,36,155,3
C5263,M,43,40대,M,Y,용산구,2015,59,41,33,18,583,1
C5264,F,44,40대,M,Y,용산구,2015,43,30,30,13,701,1
C5265,M,55,50대,M,Y,강남구,2015,35,31,26,4,309,2
C5266,M,26,20대,M,Y,서초구,2015,47,33,32,14,620,1
C5267,M,57,50대,M,N,관악구,2015,81,29,40,52,293,3
C5268,F,38,30대,S,N,송파구,2015,34,26,26,8,351,2
C5269,M,39,30대,M,Y,송파구,2015,49,38,30,11,642,1
C5270,M,30,30대,S,N,용산구,2015,73,33,34,40,184,5
C5271,F,21,20대,M,N,강남구,2015,48,34,31,14,651,1
C5272,M,52,50대,M,N,동작구,2015,79,44,37,35,226,3
C5273,F,53,50대,M,Y,서초구,2015,47,31,28,16,693,1
C5274,M,24,20대,S,N,강남구,2015,69,33,34,36,185,5
C5275,F,35,30대,M,N,광진구,2015,82,42,39,40,277,3
C5276,F,26,20대,S,N,서대문구,2015,34,28,22,6,374,2
C5277,M,57,50대,M,N,용산구,2015,44,30,29,14,700,1
C5278,F,38,30대,M,Y,강남구,2015,47,33,29,14,652,1
C5279,M,66,60대,S,N,송파구,2015,32,25,24,7,375,2
C5280,F,30,30대,M,Y,강남구,2015,45,26,31,19,702,1
C5281,M,31,30대,M,Y,용산구,2015,20,18,15,2,110,4
C5282,M,22,20대,M,N,마포구,2015,70,27,30,43,213,5
C5283,M,23,20대,M,N,용산구,2015,45,29,30,16,704,1
C5284,F,34,30대,S,N,용산구,2015,54,38,32,16,585,1
C5285,F,35,30대,M,N,강남구,2015,52,36,34,16,585,1
C5286,M,36,30대,S,N,관악구,2015,36,27,26,9,324,2
C5287,F,27,20대,S,N,송파구,2015,57,40,34,17,596,1
C5288,F,38,30대,M,Y,서대문구,2015,44,30,33,14,705,1
C5289,M,62,60대,S,N,서대문구,2015,47,35,28,12,654,1
C5290,F,50,50대,M,N,송파구,2015,39,30,25,9,339,1
C5291,M,31,30대,M,Y,마포구,2015,54,39,33,15,614,1
C5292,F,18,10대,S,N,강남구,2015,67,35,36,32,161,5
C5293,F,23,20대,M,N,서대문구,2015,55,37,30,18,610,1
C5294,M,54,50대,S,N,송파구,2015,51,37,33,14,613,1
C5295,F,55,50대,M,N,동작구,2015,78,32,39,46,292,3
C5296,F,26,20대,M,Y,송파구,2015,43,36,29,7,317,1
C5297,M,57,50대,M,N,용산구,2015,28,24,22,4,453,2
C5298,F,38,30대,M,N,광진구,2015,33,24,22,9,353,2
C5299,F,49,40대,M,Y,동작구,2015,33,26,21,7,358,2
C5300,F,20,20대,S,N,강남구,2015,90,47,41,43,266,3
C5301,F,51,50대,M,N,광진구,2015,38,34,28,4,321,1
C5302,F,42,40대,S,Y,용산구,2015,87,49,41,38,232,3
C5303,F,23,20대,S,N,송파구,2015,53,37,33,16,614,1
C5304,M,54,50대,M,N,마포구,2015,25,21,18,4,131,2
C5305,M,25,20대,S,N,동작구,2015,59,38,31,21,593,1
C5306,M,56,50대,M,N,마포구,2015,38,24,26,14,457,2
C5307,M,47,40대,M,Y,광진구,2015,83,40,43,43,265,3
C5308,F,38,30대,S,N,광진구,2015,52,40,30,12,641,1
C5309,M,49,40대,M,Y,양천구,2015,45,29,29,16,694,1
C5310,F,30,30대,M,N,강남구,2015,81,43,38,38,276,3
C5311,F,21,20대,S,N,송파구,2015,39,30,27,9,323,1
C5312,F,52,50대,M,N,서초구,2015,97,36,44,61,285,3
C5313,M,23,20대,S,N,강남구,2015,38,29,25,9,338,2
C5314,F,34,30대,M,Y,강남구,2015,41,30,28,11,671,1
C5315,F,35,30대,M,N,강남구,2015,57,38,37,19,588,1
C5316,M,36,30대,S,N,마포구,2015,40,29,28,11,662,1
C5317,M,47,40대,M,Y,용산구,2015,50,37,33,13,637,1
C5318,F,38,30대,S,N,송파구,2015,17,14,14,3,101,4
C5319,F,59,50대,M,Y,강남구,2015,75,43,35,32,252,5
C5320,F,19,10대,S,N,강남구,2015,24,23,23,1,440,2
C5321,F,21,20대,S,N,동작구,2015,47,35,30,12,619,1
C5322,M,22,20대,S,N,강남구,2015,42,32,29,10,647,1
C5323,M,33,30대,S,N,강남구,2015,50,37,35,13,590,1
C5324,M,54,50대,S,N,강남구,2015,34,27,24,7,376,2
C5325,M,55,50대,M,N,송파구,2015,48,28,28,20,699,1
C5326,F,56,50대,M,Y,용산구,2015,87,44,42,43,264,3
C5327,M,47,40대,S,N,마포구,2015,42,34,29,8,628,1
C5328,F,58,50대,M,N,관악구,2015,32,23,23,9,365,2
C5329,F,60,60대,S,N,광진구,2015,39,28,27,11,663,1
C5330,M,20,20대,M,N,용산구,2015,49,37,32,12,638,1
C5331,F,21,20대,M,N,송파구,2015,56,33,32,23,563,5
C5332,F,32,30대,M,N,송파구,2015,49,37,31,12,642,1
C5333,M,23,20대,S,N,강남구,2015,48,31,31,17,704,1
C5334,M,24,20대,M,Y,마포구,2015,38,31,28,7,332,1
C5335,F,45,40대,M,Y,송파구,2015,41,26,27,15,668,1
C5336,F,46,40대,M,N,용산구,2015,36,26,29,10,672,1
C5337,M,27,20대,S,N,용산구,2015,53,37,33,16,585,1
C5338,M,38,30대,S,N,서대문구,2015,24,19,19,5,405,2
C5339,F,59,50대,M,N,마포구,2015,57,39,31,18,594,1
C5340,M,20,20대,M,Y,용산구,2015,41,25,28,16,670,1
C5341,F,41,40대,S,N,서초구,2015,31,24,20,7,485,2
C5342,M,22,20대,M,N,양천구,2015,74,40,39,34,246,3
C5343,F,23,20대,S,N,강남구,2015,43,34,30,9,647,1
C5344,M,34,30대,S,N,용산구,2015,46,38,30,8,644,1
C5345,F,25,20대,S,N,광진구,2015,47,35,31,12,617,1
C5346,M,46,40대,S,N,관악구,2015,49,34,31,15,620,1
C5347,M,37,30대,S,N,마포구,2015,52,33,34,19,559,1
C5348,M,58,50대,M,Y,송파구,2015,58,32,31,26,557,5
C5349,F,39,30대,M,Y,송파구,2015,32,22,25,10,684,2
C5350,M,50,50대,M,Y,송파구,2015,70,40,42,30,160,5
C5351,M,51,50대,M,Y,용산구,2015,45,35,30,10,646,1
C5352,M,42,40대,S,N,서초구,2015,55,39,34,16,598,1
C5353,F,53,50대,M,N,광진구,2015,71,41,37,30,244,5
C5354,F,44,40대,M,N,관악구,2015,83,34,41,49,295,3
C5355,F,35,30대,M,N,용산구,2015,48,34,29,14,652,1
C5356,M,46,40대,S,N,송파구,2015,83,46,39,37,231,3
C5357,F,37,30대,M,Y,강남구,2015,38,25,26,13,678,2
C5358,M,28,20대,S,N,서초구,2015,49,28,29,21,687,1
C5359,M,49,40대,M,Y,용산구,2015,47,36,34,11,637,1
C5360,F,20,20대,S,N,관악구,2015,81,35,41,46,271,3
C5361,F,31,30대,M,N,동작구,2015,71,33,34,38,179,5
C5362,M,22,20대,S,N,송파구,2015,55,39,29,16,610,1
C5363,M,23,20대,M,Y,용산구,2015,47,33,30,14,652,1
C5364,F,44,40대,M,Y,강남구,2015,64,23,33,41,208,5
C5365,M,35,30대,M,N,강남구,2015,38,32,24,6,306,2
C5366,M,46,40대,M,Y,양천구,2015,36,25,27,11,681,2
C5367,F,47,40대,M,Y,송파구,2015,79,41,41,38,279,3
C5368,F,48,40대,M,Y,송파구,2015,23,20,19,3,444,2
C5369,F,49,40대,S,N,서초구,2015,53,36,36,17,600,1
C5370,F,40,40대,M,Y,강남구,2015,58,37,35,21,571,1
C5371,F,41,40대,M,Y,마포구,2015,67,30,36,37,220,5
C5372,M,22,20대,S,N,서대문구,2015,26,20,22,6,409,2
C5373,M,53,50대,S,N,서초구,2015,22,17,19,5,121,2
C5374,F,34,30대,S,N,광진구,2015,45,32,29,13,660,1
C5375,F,35,30대,M,N,마포구,2015,23,18,17,5,128,2
C5376,M,26,20대,S,N,마포구,2015,43,28,28,15,665,1
C5377,F,47,40대,M,Y,광진구,2015,37,31,25,6,331,2
C5378,M,58,50대,M,N,송파구,2015,39,31,28,8,336,1
C5379,F,61,60대,M,N,서초구,2015,32,24,27,8,366,2
C5380,F,20,20대,M,N,용산구,2015,48,35,29,13,651,1
C5381,F,21,20대,M,Y,용산구,2015,46,32,27,14,652,1
C5382,M,42,40대,M,N,송파구,2015,84,41,39,43,269,3
C5383,M,23,20대,M,N,송파구,2015,42,34,25,8,316,1
C5384,M,54,50대,M,N,용산구,2015,69,36,35,33,170,5
C5385,M,35,30대,S,N,송파구,2015,98,41,42,57,289,3
C5386,M,46,40대,M,Y,송파구,2015,47,29,31,18,689,1
C5387,F,37,30대,S,N,서초구,2015,52,37,31,15,622,1
C5388,M,38,30대,S,N,용산구,2015,60,38,35,22,571,1
C5389,M,29,20대,S,N,강남구,2015,42,33,31,9,647,1
C5390,M,20,20대,S,N,송파구,2015,37,27,26,10,679,2
C5391,M,41,40대,M,Y,송파구,2015,38,25,27,13,668,1
C5392,M,42,40대,M,N,양천구,2015,68,32,32,36,195,5
C5393,M,53,50대,M,Y,서대문구,2015,49,24,28,25,540,5
C5394,F,54,50대,M,N,서초구,2015,80,37,40,43,271,3
C5395,F,25,20대,M,Y,강남구,2015,56,35,33,21,562,1
C5396,F,56,50대,M,Y,강남구,2015,66,33,38,33,163,5
C5397,M,57,50대,S,N,송파구,2015,33,23,26,10,683,2
C5398,M,38,30대,S,N,서초구,2015,42,32,29,10,624,1
C5399,M,60,60대,S,N,서초구,2015,46,35,28,11,631,1
C5400,F,20,20대,M,N,마포구,2015,87,41,39,46,274,3
C5401,F,51,50대,M,N,관악구,2015,53,35,32,18,606,1
